gcc_country,dest_country,cmdCode,commodity,opportunity_score,opportunity_rationale,demand_4y_total,demand_yr1,penetration_pct,pen_opportunity,viability_score,grade,ml_growth_prob,uv_mean,uv_cagr,mfn_tariff_rate,lpi_score,dist_km,weighted_dist_km,landing_cost_n,reexport_filter_method
Bahrain,United Arab Emirates,8466,"Machine-tools; parts and accessories suitable for use solely or principally with the machines of headings 8456 to 8465, and tool holders for any type of tool for working in the hand",0.5681660994078271,"low GCC penetration (high entry room) | rising prices (+15%/yr) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",76647151.33964208,22582056.110969447,11.44,1.0,0.8436250000000002,A,0.4515185554822286,23.698450078048342,14.58,4.801974286720676,4.0,426.25749275648013,532.8218659456002,0.9354330558934079,filtered
Saudi Arabia,United Arab Emirates,7205,"Granules and powders, of pig iron, spiegeleisen, iron or steel",0.5681536054711666,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (0.7x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",34102477.46850813,8970452.732168164,15.12,1.0,0.8436250000000002,A,0.4630663990974426,0.6814056391689509,1.79,4.801974286720676,4.0,773.8595781115821,541.7017046781074,0.9375460548078575,filtered
Saudi Arabia,United Arab Emirates,6804,"Millstones, grindstones, grinding wheels, etc without frameworks, for grinding, sharpening, polishing, etc and parts thereof, natural stone, agglomerated natural or artificial abrasives or of ceramics",0.567859617764109,"low GCC penetration (high entry room) | rising prices (+8%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",118905326.02137391,30224374.507100247,8.11,1.0,0.8436250000000002,A,0.45684818426767987,3.768438897170724,8.21,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Oman,United Arab Emirates,0409,Honey; natural,0.5667002864792828,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.5x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",44980738.014885895,11588284.292642523,5.11,1.0,0.8436250000000002,A,0.4528861741224925,4.1697031841631205,-1.81,4.801974286720676,4.0,438.48270370145906,657.7240555521886,0.936554999032728,filtered
Bahrain,United Arab Emirates,2811,Inorganic acids and other inorganic oxygen compounds of non-metals; n.e.c. in heading no. 2806 to 2810,0.5652163663094456,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",83903731.26752448,20321318.201665275,14.51,1.0,0.8436250000000002,A,0.4398922026157379,0.10751610361563421,-2.98,4.801974286720676,4.0,426.25749275648013,426.25749275648013,0.9366746681782375,filtered
Oman,United Arab Emirates,3823,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols,0.5647390598031757,"low GCC penetration (high entry room) | rising prices (+11%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",121036134.16503519,24616733.08790945,4.41,1.0,0.8436250000000002,A,0.4146670401096344,1.4629948695729356,10.83,4.801974286720676,4.0,438.48270370145906,438.48270370145906,0.9390259118568972,filtered
Kuwait,United Arab Emirates,6209,Garments and clothing accessories; babies' (not knitted or crocheted),0.564733452263747,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",131796096.16916414,35630063.58474774,3.77,1.0,0.8436250000000002,A,0.44163693984349567,24.994819883407274,-10.24,4.801974286720676,4.0,834.9841841789903,1043.7302302237379,0.9317376155125258,filtered
Oman,United Arab Emirates,2201,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow",0.5646912001393687,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",195544098.6092626,48794877.271114595,7.3,1.0,0.8436250000000002,A,0.4316534996032715,0.3538489374146952,-8.5,4.801974286720676,4.0,438.48270370145906,438.48270370145906,0.9390259118568972,filtered
Oman,United Arab Emirates,4004,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom",0.56417722959033,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",36443464.37308048,8524817.41145253,8.1,1.0,0.8436250000000002,A,0.4276647965113322,0.10791999867251775,-9.33,4.801974286720676,4.0,438.48270370145906,438.48270370145906,0.9390259118568972,filtered
Oman,United Arab Emirates,3820,Anti-freezing preparations and prepared de-icing fluids,0.5639131594637768,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",92554973.54279433,21595209.74004766,3.7,1.0,0.8436250000000002,A,0.4244729479153951,1.5815375177345736,0.29,4.801974286720676,4.0,438.48270370145906,438.48270370145906,0.9390259118568972,filtered
Kuwait,United Arab Emirates,8519,Sound recording or reproducing apparatus,0.5630263453214728,"low GCC penetration (high entry room) | rising prices (+41%/yr) | premium unit value ($364/kg) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",52177668.75057457,15942405.46363456,19.37,1.0,0.8436250000000002,A,0.37714142600695294,363.88874440842613,40.63,4.801974286720676,4.0,834.9841841789903,1043.7302302237379,0.9317376155125258,filtered
Oman,Belgium,4504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,0.562782707040088,"low GCC penetration (high entry room) | rising prices (+53%/yr) | stable market (A grade) | low landing cost (tariff 2.7%, LPI 4.0)",17010852.229217667,4868978.894251374,3.1,1.0,0.809875,A,0.5,9.43127908705406,53.49,2.685714285714286,4.0,5512.731076201994,5512.731076201994,0.8823481085022347,filtered
Kuwait,United Arab Emirates,7016,"Glass; paving blocks, slabs, bricks, tiles etc, of pressed, moulded glass, whether or not wired, glass smallwares for decorative purposes leaded lights and the like; multicellular or foam glass",0.5621308251120799,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",34739768.49831586,9158015.483359091,5.7,1.0,0.8436250000000002,A,0.41587311029434204,1.926855569791621,-4.93,4.801974286720676,4.0,834.9841841789903,834.9841841789903,0.9342123654024798,filtered
Bahrain,United Arab Emirates,8301,"Padlocks and locks (key, combination, electrically operated) of base metal; clasps and frames with clasps incorporating locks, of base metal, keys for any or the foregoing articles, of base metal",0.5618551591554093,"low GCC penetration (high entry room) | rising prices (+8%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",322035564.4660101,79908039.08421129,3.61,1.0,0.8436250000000002,A,0.40009839336077374,8.26490853948594,8.18,4.801974286720676,4.0,426.25749275648013,426.25749275648013,0.9366746681782375,filtered
Oman,United Arab Emirates,7314,"Cloth (including endless bands), grill, netting and fencing, of iron or steel wire; expanded metal of iron or steel",0.560068720868415,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (0.7x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",188841221.7936691,49106853.84741698,3.07,1.0,0.8436250000000002,A,0.3862818777561188,1.269531631268032,1.35,4.801974286720676,4.0,438.48270370145906,306.9378925910213,0.9405084595513988,filtered
Oman,United Arab Emirates,7901,Zinc; unwrought,0.5596828561307595,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (0.7x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",278051070.0444635,73791930.16115893,11.47,1.0,0.8436250000000002,A,0.3764926691850026,3.465834149271529,4.92,4.801974286720676,4.0,438.48270370145906,306.9378925910213,0.9405084595513988,filtered
