country,cmdCode,ml_growth_prob
Australia,4411,0.6864848335584005
Australia,4412,0.5228913426399231
Australia,4413,0.4925265411535899
Australia,4414,0.6546767354011536
Australia,4416,0.5738353530565897
Australia,4418,0.5247982541720072
Australia,4419,0.5407551328341166
Australia,4420,0.5013836622238159
Australia,4421,0.415182759364446
Australia,4501,0.827736516793569
Australia,4502,0.6308467984199524
Australia,4503,0.48283782601356506
Australia,4504,0.3675679961840312
Australia,4601,0.2459538827339808
Australia,4602,0.39301833510398865
Australia,4704,0.4038701057434082
Australia,4706,0.37407949566841125
Australia,4707,0.28319530685742694
Australia,4801,0.3921792209148407
Australia,4802,0.7107466657956442
Australia,4803,0.6322813630104065
Australia,4804,0.24280156195163727
Australia,4806,0.6653160452842712
Australia,4807,0.5473759174346924
Australia,4808,0.570186972618103
Australia,4809,0.3764926691850026
Australia,4810,0.34296848376592
Australia,4811,0.372229943672816
Australia,4812,0.7690389553705851
Australia,4813,0.5813241004943848
Australia,4814,0.48055775960286456
Australia,4816,0.39399351676305133
Australia,4817,0.519293208916982
Australia,4818,0.5789253314336141
Australia,4819,0.3989347418149312
Australia,4820,0.5233657757441202
Australia,4821,0.5076651175816854
Australia,4822,0.35100167989730835
Australia,4823,0.423082302014033
Australia,4901,0.45619381467501324
Australia,4902,0.40544624129931134
Australia,4903,0.47184401750564575
Australia,4904,0.2580760419368744
Australia,4905,0.5560464461644491
Australia,4906,0.4003732204437256
Australia,4909,0.4980682035287221
Australia,4910,0.47785284121831256
Australia,4911,0.5263166626294454
Australia,5003,0.949646532535553
Australia,5004,0.34908127784729004
Australia,5006,0.7445986866950989
Australia,5007,0.5194558401902517
Australia,5101,0.23620924850304922
Australia,5102,0.6416143973668417
Australia,5103,0.7737017869949341
Australia,5105,0.3932897945245107
Australia,5106,0.2580760419368744
Australia,5107,0.3838687042395274
Australia,5109,0.429634968439738
Australia,5111,0.5759007334709167
Australia,5112,0.4268861214319865
Australia,5201,0.3646118839581807
Australia,5203,0.42682920893033344
Australia,5204,0.4452471435070038
Australia,5205,0.5690064628918966
Australia,5206,0.4476066728432973
Australia,5207,0.5439793467521667
Australia,5208,0.6523541609446207
Australia,5209,0.503540446360906
Australia,5210,0.6940154631932577
Australia,5211,0.39490170280138653
Australia,5212,0.5631420612335205
Australia,5302,0.2803536057472229
Australia,5303,0.5949820677439371
Australia,5305,0.4694052239259084
Australia,5306,0.9689876039822897
Australia,5307,0.8953453898429871
Australia,5308,0.5950287779172262
Australia,5309,0.4175959328810374
Australia,5310,0.5945978959401449
Australia,5311,0.7323180834452311
Australia,5401,0.44406557083129883
Australia,5402,0.3908766210079193
Australia,5403,0.7173756758371989
Australia,5404,0.3838687042395274
Australia,5405,0.7177934050559998
Australia,5406,0.3500227630138397
Australia,5407,0.6424935857454935
Australia,5408,0.6564644376436869
Australia,5501,0.3496438264846802
Australia,5503,0.3589911659558614
Australia,5505,0.7807724277178446
Australia,5506,0.443084051211675
Australia,5508,0.4888168474038442
Australia,5509,0.46301864584287006
Australia,5510,0.4227687418460846
Australia,5511,0.3527328272660573
Australia,5512,0.41738952199618023
Australia,5513,0.43305392066637677
Australia,5515,0.39216674367586773
Australia,5516,0.5907392700513204
Australia,5601,0.3995685974756877
Australia,5602,0.674268364906311
Australia,5603,0.586374560991923
Australia,5604,0.49810471137364704
Australia,5605,0.2548459569613139
Australia,5606,0.3854430913925171
Australia,5607,0.4612766404946645
Australia,5608,0.4126503864924113
Australia,5609,0.49664966265360516
Australia,5701,0.35859959324200946
Australia,5704,0.5759007334709167
Australia,5705,0.42080847422281903
Australia,5802,0.7112191120783488
Australia,5803,0.29448990027109784
Australia,5804,0.3865625162919362
Australia,5805,0.2517831275860469
Australia,5806,0.41151828567186993
Australia,5807,0.537315179904302
Australia,5808,0.3001396656036377
Australia,5809,0.28050046662489575
Australia,5810,0.4388858179251353
Australia,5811,0.286945919195811
Australia,5901,0.35100167989730835
Australia,5902,0.2600037058194478
Australia,5903,0.4306020140647888
Australia,5904,0.4300779700279236
Australia,5905,0.3093451162179311
Australia,5906,0.38663257161776227
Australia,5908,0.6356058319409689
Australia,5909,0.35100167989730835
Australia,5910,0.6071286996205648
Australia,5911,0.3589911659558614
Australia,6001,0.4506898025671641
Australia,6002,0.811037282148997
Australia,6003,0.3865625162919362
Australia,6004,0.4472574194272359
Australia,6005,0.42080847422281903
Australia,6006,0.6238561669985453
Australia,6101,0.42984525362650555
Australia,6102,0.3932897945245107
Australia,6103,0.4148673315842946
Australia,6104,0.4046931366125743
Australia,6105,0.4979739785194397
Australia,6106,0.40353591243426007
Australia,6107,0.4010914166768392
Australia,6108,0.5234502951304117
Australia,6109,0.4476471443970998
Australia,6110,0.5055109063784281
Australia,6111,0.4219507575035095
Australia,6112,0.3976852198441823
Australia,6113,0.47605807582537335
Australia,6114,0.5357383290926615
Australia,6115,0.4205813705921173
Australia,6116,0.3865625162919362
Australia,6117,0.48072901368141174
Australia,6202,0.3976130783557892
Australia,6203,0.5829113523165385
Australia,6206,0.3838687042395274
Australia,6207,0.3450426558653514
Australia,6208,0.3773572047551473
Australia,6209,0.6027387976646423
Australia,6210,0.5642171303431193
Australia,6211,0.5518662730852762
Australia,6212,0.3908766210079193
Australia,6213,0.6384014089902242
Australia,6214,0.4571032722791036
Australia,6215,0.41151828567186993
Australia,6216,0.6448569099108378
