dest_country,cmdCode,commodity,demand_4y_total,demand_yr1,gcc_2023_exp,uv_mean,uv_cagr,viability_score,grade,penetration_pct,is_saturated,ml_growth_prob,imp_exp_ratio,pen_opportunity,dist_km,dist_sensitivity,weighted_dist_km,hs2,lpi_score,mfn_tariff_rate,demand_4y_total_n,uv_mean_n,viability_score_n,pen_opportunity_n,ml_growth_prob_n,uv_cagr_pos,uv_cagr_n,lpi_n,tariff_n_inv,dist_n_inv,landing_cost_n,opportunity_score,opportunity_rationale,gcc_country,recommended_transport,transport_rationale
Australia,8411,"Turbo-jets, turbo-propellers and other gas turbines",1932164759.779196,392758690.57869387,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.6788862078573608,0.999999996438682,0.979,12376.75301054904,1.25,15470.941263186302,84,3.7,2.7053159851301114,0.0019065454744110174,0.999999999998364,0.8124999989843749,0.9521963783281809,0.712160758861157,32.87,0.9999999999695772,0.5714285710204083,0.9929470346756568,0.2835050141387576,0.6680550672620951,0.6248402478055167,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | ML growth signal (68%) | low landing cost (tariff 2.7%, LPI 3.7)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
United Arab Emirates,8411,"Turbo-jets, turbo-propellers and other gas turbines",16791425361.033344,3209536101.2303224,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.4177351637694116,0.999999996438682,0.979,426.25749275648013,1.25,532.8218659456002,84,4.0,4.801974286720676,0.01656881783951054,0.999999999998364,0.8124999989843749,0.9521963783281809,0.28033411408026243,32.87,0.9999999999695772,0.7857142851530613,0.987480886403368,0.979698385368036,0.9149169507069277,0.6223524339354269,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Rep. of Korea,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",366095371224.82715,77305329628.02579,200499059.659,17.859171182658955,12.07,0.85,A,1.19,False,0.4802595318181964,0.9999999950902065,0.9881,4820.457772966406,1.25,6025.572216208007,87,3.8,7.724489795918367,0.36124206436879297,0.028968854836168918,0.8124999989843749,0.9913867313032441,0.3837213632710399,12.07,0.3672041375002372,0.6428571423979591,0.9798616653365781,0.7237079034351939,0.7978716418327154,0.6221846887152723,"low GCC penetration (high entry room) | rising prices (+12%/yr) | stable market (A grade) | low landing cost (tariff 7.7%, LPI 3.8)",Bahrain,Sea,"Standard sea freight; low unit value ($17.9/kg), non-perishable, long-haul route (4,820 km)"
Netherlands,8411,"Turbo-jets, turbo-propellers and other gas turbines",13998880372.0,3499720093.0,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.42440435438842783,0.999999996438682,0.979,4774.190518047728,1.25,5967.738147559659,84,4.1,1.7803903345724907,0.013813293434915004,0.999999999998364,0.8124999989843749,0.9521963783281809,0.2913619628046355,32.87,0.9999999999695772,0.8571428565306121,0.9953583864648138,0.7264032691739117,0.8797441716651178,0.6174904208504439,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | low landing cost (tariff 1.8%, LPI 4.1)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Singapore,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",1798641208.5446384,414360731.44313216,200499059.659,17.859171182658955,12.07,1.0,A+,1.19,False,0.6554224127878311,0.9999999950902065,0.9881,6319.980856175579,1.25,7899.9760702194735,87,4.3,0.0,0.00177479203607431,0.028968854836168918,0.99999999875,0.9913867313032441,0.673362170350482,12.07,0.3672041375002372,0.9999999992857143,1.0,0.6363510211217187,0.9090877550304297,0.615464368272819,"low GCC penetration (high entry room) | rising prices (+12%/yr) | stable market (A+ grade) | ML growth signal (66%) | low landing cost (tariff 0.0%, LPI 4.3)",Bahrain,Sea,"Standard sea freight; low unit value ($17.9/kg), non-perishable, long-haul route (6,320 km)"
Italy,8411,"Turbo-jets, turbo-propellers and other gas turbines",22968475711.954395,5001489861.054006,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.4753463963334573,0.999999996438682,0.979,3880.166276347721,1.25,4850.207845434651,84,3.7,1.7803903345724907,0.02266397944199928,0.999999999998364,0.8124999989843749,0.9521963783281809,0.37559724177216386,32.87,0.9999999999695772,0.5714285710204083,0.9953583864648138,0.7784859422198237,0.7927648399980244,0.6150797204989038,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | low landing cost (tariff 1.8%, LPI 3.7)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Australia,2601,Iron ores and concentrates; including roasted iron pyrites,359207853751.7175,86029061624.14539,1831371467.111,0.15226669354797528,-3.57,0.85,A,2.38,False,0.6208820944849813,0.9999999994276706,0.9762,12376.75301054904,0.7,8663.727107384328,26,3.7,0.0,0.35444585425981945,0.0,0.8124999989843749,0.9401378081820077,0.6162479826034072,0.0,0.0,0.5714285710204083,1.0,0.6007562855861417,0.7501890712536783,0.6132921839466239,"low GCC penetration (high entry room) | stable market (A grade) | low landing cost (tariff 0.0%, LPI 3.7)",Bahrain,Sea,"Standard sea freight; low unit value ($0.2/kg), non-perishable, long-haul route (12,377 km)"
Singapore,2601,Iron ores and concentrates; including roasted iron pyrites,8950.532,2237.633,1831371467.111,0.15226669354797528,-3.57,1.0,A+,2.38,False,0.7209875408344874,0.9999999994276706,0.9762,6319.980856175579,0.7,4423.986599322905,26,4.3,0.0,4.127084449583478e-09,0.0,0.99999999875,0.9401378081820077,0.7817774721460294,0.0,0.0,0.9999999992857143,1.0,0.7983500494965998,0.9495875121241499,0.6086434364513982,"low GCC penetration (high entry room) | stable market (A+ grade) | ML growth signal (72%) | low landing cost (tariff 0.0%, LPI 4.3)",Bahrain,Sea,"Standard sea freight; low unit value ($0.2/kg), non-perishable, long-haul route (6,320 km)"
Spain,8411,"Turbo-jets, turbo-propellers and other gas turbines",16400373359.610966,3271459894.7135706,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.41765471824328654,0.999999996438682,0.979,5205.250113890361,1.25,6506.562642362951,84,3.9,1.7803903345724907,0.016182949988637244,0.999999999998364,0.8124999989843749,0.9521963783281809,0.28020109327708875,32.87,0.9999999999695772,0.7142857137755102,0.9953583864648138,0.7012912700284699,0.8234661719144716,0.6085250480735229,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | low landing cost (tariff 1.8%, LPI 3.9)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Belgium,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",21382211160.0,5345552790.0,102061972.395,12.543448843234973,14.1,1.0,A+,0.99,False,0.6096374838651345,0.9999999887561456,0.9901,4757.178028156556,1.25,5946.472535195695,87,4.0,7.049183673469388,0.02109874389441794,0.02027222528723498,0.99999999875,0.9999999956933678,0.5976544422528628,14.1,0.42896257984700453,0.7857142851530613,0.9816222399574834,0.7273943563361724,0.8494974848706079,0.6067526849836722,"low GCC penetration (high entry room) | rising prices (+14%/yr) | stable market (A+ grade) | low landing cost (tariff 7.0%, LPI 4.0)",Bahrain,Sea,"Standard sea freight; low unit value ($12.5/kg), non-perishable, long-haul route (4,757 km)"
Malaysia,8411,"Turbo-jets, turbo-propellers and other gas turbines",3707597439.5206614,574360635.2978204,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.5015260900348137,0.999999996438682,0.979,6009.598104281236,1.25,7511.997630351545,84,3.6,2.8956877323420076,0.0036584413604062293,0.999999999998364,0.8124999989843749,0.9521963783281809,0.4188867079580275,32.87,0.9999999999695772,0.4999999996428573,0.9924507209957761,0.6544328164825071,0.7355884923939373,0.606080830456479,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | low landing cost (tariff 2.9%, LPI 3.6)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Poland,8411,"Turbo-jets, turbo-propellers and other gas turbines",31336803342.429146,6730480646.709553,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.4246830000738817,0.999999996438682,0.979,3808.711792043678,1.25,4760.8897400545975,84,3.6,1.7803903345724907,0.03092136870590739,0.999999999998364,0.8124999989843749,0.9521963783281809,0.29182271773614443,32.87,0.9999999999695772,0.4999999996428573,0.9953583864648138,0.7826486263732143,0.7688055110542291,0.6051727160697096,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | low landing cost (tariff 1.8%, LPI 3.6)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Singapore,2106,Food preparations not elsewhere specified or included,34202085838.832718,7686045102.310297,122196242.812,5.168428520127059,3.23,1.0,A+,1.13,False,0.6150868415839845,0.999999990371016,0.9887,6319.980856175579,1.5,9479.971284263369,21,4.3,0.0,0.03374866634154315,0.00820654247490083,0.99999999875,0.9939707106202814,0.6066652347165122,3.23,0.0982658959507677,0.9999999992857143,1.0,0.5627150991331364,0.890678774533284,0.605022082962852,"low GCC penetration (high entry room) | stable market (A+ grade) | low landing cost (tariff 0.0%, LPI 4.3)",Bahrain,Air,"Perishable commodity (HS2 21) on long-haul route (6,320 km > 3,000 km threshold)"
Japan,2106,Food preparations not elsewhere specified or included,3137627402.4012847,765304153.8046454,122196242.812,5.168428520127059,3.23,1.0,A+,1.13,False,0.776801722894962,0.999999990371016,0.9887,8274.580008593974,1.5,12411.87001289096,21,3.9,13.1675,0.003096027378415441,0.00820654247490083,0.99999999875,0.9939707106202814,0.8740690846668193,3.23,0.0982658959507677,0.7142857137755102,0.9656713221602384,0.4260735041835665,0.7427869047314156,0.6019155277468206,"low GCC penetration (high entry room) | stable market (A+ grade) | ML growth signal (78%) | low landing cost (tariff 13.2%, LPI 3.9)",Bahrain,Air,"Perishable commodity (HS2 21) on long-haul route (8,275 km > 3,000 km threshold)"
Japan,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",103449523036.0,25862380759.0,102061972.395,12.543448843234973,14.1,1.0,A+,0.99,False,0.5174031321752606,0.9999999887561456,0.9901,8274.580008593974,1.25,10343.225010742466,87,3.9,0.08571428571428572,0.10207809483842915,0.02027222528723498,0.99999999875,0.9999999956933678,0.44514021140657223,14.1,0.42896257984700453,0.7142857137755102,0.9997765363128498,0.5224830253304105,0.7805313706791711,0.6014011825063303,"low GCC penetration (high entry room) | rising prices (+14%/yr) | stable market (A+ grade) | low landing cost (tariff 0.1%, LPI 3.9)",Bahrain,Sea,"Standard sea freight; low unit value ($12.5/kg), non-perishable, long-haul route (8,275 km)"
